Entity Name	Eligibility	Model_Of_Inheritance	Phenotypes	Comment	TANGO	NAT			
AARS1	1	autosomal recessive	Developmental and epileptic encephalopathy 29						
AARS2	1	BIALLELIC, autosomal or pseudoautosomal	Leukoencephalopathy with ovarian failure;General Leukodystrophy & Mitochondrial Leukoencephalopathy						
ABCA1	1	autosomal recessive	TANGIER DISEASE; TGD						
ABCA4	1	autosomal recessive	Stargardt disease, multiple other disease associations, ORPHA:827,ORPHA:791,OMIM:604116,ORPHA:1872,OMIM:601718,OMIM:153800,OMIM:248200	progressive					
ABCA7	1	autosomal dominant	{Alzheimer disease 9, susceptibility to}, ORPHA:1020  Early-onset autosomal dominant Alzheimer disease ORPHA:1020,OMIM:608907	progressive CAVE: susceptibility					
ABCD1	1	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Adrenoleukodystrophy, 300100; Adrenomyeloneuropathy, adult, 300100;X-Linked Adrenoleukodystrophy;Adrenoleukodystrophy, X-linked;Adrenoleukodystrophy						
ABHD12	1	BIALLELIC, autosomal or pseudoautosomal	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract ;Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa and Cataract (PHARC) 	progression might be too slow					
ABHD16A	1	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia;Intellectual disability						
ABHD5	1	BIALLELIC, autosomal or pseudoautosomal	Chanarin-Dorfman syndrome, 275630;CHANARIN-DORFMAN SYNDROME (CDS)	neurologic deterioration in autosomal recessive disorder					
ACADS	1	BIALLELIC, autosomal or pseudoautosomal	Acyl-CoA dehydrogenase, short-chain, deficiency of  201470	CAVE: very variable phenotype					
ACBD5	1	BIALLELIC, autosomal or pseudoautosomal	Retinal dystrophy with leukodystrophy, OMIM:618863						
ACER3	1	autsosomal recessive	?Leukodystrophy, progressive, early childhood-onset OMIM:617762	progressive disorder					
ACO2	1	BIALLELIC, autosomal or pseudoautosomal	Infantile cerebellar-retinal degeneration, OMIM:614559;Infantile cerebellar-retinal degeneration, MONDO:0013802						
ACOX1	1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Peroxisomal acyl-CoA oxidase deficiency 264470;General Leukodystrophy & Mitochondrial Leukoencephalopathy;Mitchell syndrome, OMIM:618960						
ACSF3	1	autosomal recessive	Combined malonic and methylmalonic aciduria OMIM:614265,ORPHA:289504	cognitive decline					
ACTG1	1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Baraitser-Winter syndrome 2, 614583;BARAITSER-WINTER SYNDROME	progressive hearing loss					
ADA2	1	autosomal recessive	SNEDDON SYNDROME; SNDNS ORPHA:820,OMIM:182410,ORPHA:124,OMIM:615688	cognitive decline, progressive					
ADAM9	1	autosomal recessive	Cone-rod dystrophy 9, ORPHA:1872,OMIM:612775	progressive disorder					
ADAR	1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 6;Aicardi-Goutieres syndrome;Aicardi-Gouti res, isolated spasticity, bilateral striatal necrosis, General Leukodystrophy & Mitochondrial Leukoencephalopathy	for recessive phenotype					
ADARB1	1	BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder with hypotonia, microcephaly, and seizures, 618862	not clear how progressive this disorder is					
ADAT3	1	BIALLELIC, autosomal or pseudoautosomal	Mental retardation, autosomal recessive 36 615286						
ADCK3	1	autosomal recessive	"	Coenzyme Q10 deficiency, primary, 4"	progressive					
ADGRV1	1	autosomal recessive	Usher syndrome, type 2C	progressive retinitis pigmentosa					
ADH5	1	digenic recessive	OMIM:619151 AMED syndrome, digenic	progressive, CAVE: digenic (multiple variants could be treated)					
ADK	1	BIALLELIC, autosomal or pseudoautosomal	Hypermethioninemia due to adenosine kinase deficiency  614300	progressive disorder					
ADPRHL2	1	BIALLELIC, autosomal or pseudoautosomal	Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures OMIM:618170;neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures MONDO:0100095						
ADPRS	1	autosomal-recessive	"OMIM:618170 	Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures"	ideal disease					
ADSL	1	BIALLELIC, autosomal or pseudoautosomal	Adenylosuccinase deficiency						
AFG3L2	1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spastic ataxia 5, autosomal recessive OMIM:614487;spastic ataxia 5 MONDO:0013776;Spinocerebellar ataxia 28 OMIM:610246;spinocerebellar ataxia type 28 MONDO:0012450	CAVE: AR and AD phenotype					
AGA	1	BIALLELIC, autosomal or pseudoautosomal	Aspartylglucosaminuria, 208400;ASPARTYLGLUCOSAMINURIA (AGU)	progressive, extraneuronal features present					
AGBL5	1	autosomal recessive	ORPHA:791,OMIM:617023 Retinitis pigmentosa 75	progressive night blindness					
AGTPBP1	1	autosomal recessive	Neurodegeneration, childhood-onset, with cerebellar atrophy OMIM:618276	progressive neurodegeneration					
AHR	1	autosomal recessive	Retinitis pigmentosa 85  ORPHA:791,OMIM:618345	progressive					
AIFM1	1	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Cowchock syndrome, OMIM:310490;Combined oxidative phosphorylation deficiency 6, OMIM:300816;Spondyloepimetaphyseal dysplasia, X-linked, with hypomyelinating leukodystrophy, OMIM:300232	allelic disorders, severe syndroes with regression/deterioration					
AIMP1	1	BIALLELIC, autosomal or pseudoautosomal	Leukodystrophy, hypomyelinating, 3, OMIM:260600						
AIMP2	1	BIALLELIC, autosomal or pseudoautosomal	Epileptic Encephalopathy;Infantile Spasms;Leukodystrophy, hypomyelinating, 17, 618006;neurodevelopmental disorder with microcephaly, seizures, and spastic quadriparesis						
