From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q6TDP4	Q6TDP4	reviewed	KLH17_HUMAN	Kelch-like protein 17 (Actinfilin)	KLHL17 AF	Homo sapiens (Human)	642
Q9Y5U5	Q9Y5U5	reviewed	TNR18_HUMAN	Tumor necrosis factor receptor superfamily member 18 (Activation-inducible TNFR family receptor) (Glucocorticoid-induced TNFR-related protein) (CD antigen CD357)	TNFRSF18 AITR GITR UNQ319/PRO364	Homo sapiens (Human)	241
P43489	P43489	reviewed	TNR4_HUMAN	Tumor necrosis factor receptor superfamily member 4 (ACT35 antigen) (OX40L receptor) (TAX transcriptionally-activated glycoprotein 1 receptor) (CD antigen CD134)	TNFRSF4 TXGP1L	Homo sapiens (Human)	277
A0A8V8TQH9	A0A8V8TQH9	unreviewed	A0A8V8TQH9_HUMAN	TNF receptor superfamily member 4	TNFRSF4	Homo sapiens (Human)	325
A0A8V8TP56	A0A8V8TP56	unreviewed	A0A8V8TP56_HUMAN	TNF receptor superfamily member 4	TNFRSF4	Homo sapiens (Human)	234
Q96P50	Q96P50	reviewed	ACAP3_HUMAN	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3 (Centaurin-beta-5) (Cnt-b5)	ACAP3 CENTB5 KIAA1716	Homo sapiens (Human)	834
Q8N2W2	Q8N2W2	unreviewed	Q8N2W2_HUMAN	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein (Cnt-b) (Centaurin-beta)	ACAP3	Homo sapiens (Human)	126
Q8WTZ1	Q8WTZ1	unreviewed	Q8WTZ1_HUMAN	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein (Cnt-b) (Centaurin-beta)	ACAP3	Homo sapiens (Human)	322
E5RJM6	E5RJM6	reviewed	ANR65_HUMAN	Ankyrin repeat domain-containing protein 65	ANKRD65	Homo sapiens (Human)	399
A0A8C8N694	A0A8C8N694	unreviewed	A0A8C8N694_HUMAN	RING-type E3 ubiquitin transferase (EC 2.3.2.27)	MIB2	Homo sapiens (Human)	890
Q96AX9	Q96AX9	reviewed	MIB2_HUMAN	E3 ubiquitin-protein ligase MIB2 (EC 2.3.2.27) (Mind bomb homolog 2) (Novel zinc finger protein) (Novelzin) (Putative NF-kappa-B-activating protein 002N) (RING-type E3 ubiquitin transferase MIB2) (Skeletrophin) (Zinc finger ZZ type with ankyrin repeat domain protein 1)	MIB2 SKD ZZANK1	Homo sapiens (Human)	955
A0A2L0WW42	A0A2L0WW42	unreviewed	A0A2L0WW42_HUMAN	G protein subunit beta 1	GNB1	Homo sapiens (Human)	340
P62873	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)	GNB1	Homo sapiens (Human)	340
Q5T089	Q5T089	reviewed	MORN1_HUMAN	MORN repeat-containing protein 1	MORN1	Homo sapiens (Human)	497
B4DU65	B4DU65	unreviewed	B4DU65_HUMAN	cDNA FLJ57170, highly similar to Tumor necrosis factor receptor superfamily member 14		Homo sapiens (Human)	173
Q92956	Q92956	reviewed	TNR14_HUMAN	Tumor necrosis factor receptor superfamily member 14 (Herpes virus entry mediator A) (Herpesvirus entry mediator A) (HveA) (Tumor necrosis factor receptor-like 2) (TR2) (CD antigen CD270)	TNFRSF14 HVEA HVEM UNQ329/PRO509	Homo sapiens (Human)	283
B9A034	B9A034	unreviewed	B9A034_HUMAN	TNF receptor superfamily member 14	TNFRSF14	Homo sapiens (Human)	193
B4E0P6	B4E0P6	unreviewed	B4E0P6_HUMAN	cDNA FLJ56728, highly similar to Tumor necrosis factor receptor superfamily member 14		Homo sapiens (Human)	178
A8MYJ7	A8MYJ7	reviewed	TTC34_HUMAN	Tetratricopeptide repeat protein 34 (TPR repeat protein 34)	TTC34	Homo sapiens (Human)	566
A0A1C7CYW7	A0A1C7CYW7	unreviewed	A0A1C7CYW7_HUMAN	Tetratricopeptide repeat domain 34	TTC34	Homo sapiens (Human)	1079
Q9P2S5	Q9P2S5	reviewed	WRP73_HUMAN	WD repeat-containing protein WRAP73 (WD repeat-containing protein 8) (WD repeat-containing protein antisense to TP73 gene)	WRAP73 WDR8	Homo sapiens (Human)	460
Q8N1G4	Q8N1G4	reviewed	LRC47_HUMAN	Leucine-rich repeat-containing protein 47	LRRC47 KIAA1185	Homo sapiens (Human)	583
O60308	O60308	reviewed	CE104_HUMAN	Centrosomal protein of 104 kDa (Cep104)	CEP104 KIAA0562	Homo sapiens (Human)	925
B1AK53	B1AK53	reviewed	ESPN_HUMAN	Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein)	ESPN DFNB36 LP2654	Homo sapiens (Human)	854
A0A1B0GUN9	A0A1B0GUN9	unreviewed	A0A1B0GUN9_HUMAN	Espin	ESPN	Homo sapiens (Human)	1362
Q5JYL1	Q5JYL1	unreviewed	Q5JYL1_HUMAN	Espin	ESPN	Homo sapiens (Human)	213
Q93038	Q93038	reviewed	TNR25_HUMAN	Tumor necrosis factor receptor superfamily member 25 (Apo-3) (Apoptosis-inducing receptor AIR) (Apoptosis-mediating receptor DR3) (Apoptosis-mediating receptor TRAMP) (Death receptor 3) (Lymphocyte-associated receptor of death) (LARD) (Protein WSL) (Protein WSL-1)	TNFRSF25 APO3 DDR3 DR3 TNFRSF12 WSL WSL1 UNQ455/PRO779	Homo sapiens (Human)	417
