chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	blockCount	blockSizes	chromStarts	name2	cdsStartStat	cdsEndStat	exonFrames	type	geneName	geneName2	geneType	status	annotationType	position	longName	syns	subCellLoc	comments	uniProtId	pmids
chr1	962901	963233	repeat	1000	+	962901	963233	12,12,120	2	16,125	0,207		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 343-389 on protein Q6TDP4				Kelch 1	Q6TDP4	
chr1	963233	963457	repeat	1000	+	963233	963457	12,12,120	2	20,121	0,103		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 390-436 on protein Q6TDP4				Kelch 2	Q6TDP4	
chr1	963460	964111	repeat	1000	+	963460	964111	12,12,120	3	44,89,5	0,459,646		cmpl	cmpl	0,0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 438-483 on protein Q6TDP4				Kelch 3	Q6TDP4	
chr1	964111	964420	repeat	1000	+	964111	964420	12,12,120	2	69,72	0,237		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 484-530 on protein Q6TDP4				Kelch 4	Q6TDP4	
chr1	964423	964993	repeat	1000	+	964423	964993	12,12,120	2	107,31	0,539		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 532-577 on protein Q6TDP4				Kelch 5	Q6TDP4	
chr1	964993	965134	repeat	1000	+	964993	965134	12,12,120	1	141	0		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 578-624 on protein Q6TDP4				Kelch 6	Q6TDP4	
chr1	1204175	1204454	repeat	1000	-	1204175	1204454	12,12,120	2	61,56	0,223		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 115-153 on protein Q9Y5U5				TNFR-Cys 3	Q9Y5U5	
chr1	1204460	1205460	repeat	1000	-	1204460	1205460	12,12,120	2	26,91	0,909		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 74-112 on protein Q9Y5U5				TNFR-Cys 2	Q9Y5U5	
chr1	1205463	1206472	repeat	1000	-	1205463	1206472	12,12,120	2	29,88	0,921		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 34-72 on protein Q9Y5U5				TNFR-Cys 1	Q9Y5U5	
chr1	1212074	1212696	repeat	1000	-	1212074	1212696	12,12,120	2	64,59	0,563		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 127-167 on protein P43489				TNFR-Cys 4	P43489	
chr1	1212695	1212704	repeat	0	-	1212695	1212704	0,150,250	1	9	0		cmpl	cmpl	0	trembl				Unreviewed (TrEMBL)	repeat	amino acids 66-107 on protein A0A8V8TQH9				TNFR-Cys	A0A8V8TQH9	
chr1	1212696	1213040	repeat	1000	-	1212696	1213040	12,12,120	2	8,49	0,295		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 108-126 on protein P43489				TNFR-Cys 3; truncated	P43489	
chr1	1213040	1213735	repeat	1000	-	1213040	1213735	12,12,120	2	53,73	0,622		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 66-107 on protein P43489				TNFR-Cys 2	P43489	
chr1	1213040	1213735	repeat	0	-	1213040	1213735	0,150,250	2	53,73	0,622		cmpl	cmpl	0,0	trembl				Unreviewed (TrEMBL)	repeat	amino acids 66-107 on protein A0A8V8TP56				TNFR-Cys	A0A8V8TP56	
chr1	1213735	1214040	repeat	1000	-	1213735	1214040	12,12,120	2	50,58	0,247		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 30-65 on protein P43489				TNFR-Cys 1	P43489	
chr1	1213738	1214040	repeat	0	-	1213738	1214040	0,150,250	2	47,58	0,244		cmpl	cmpl	0,0	trembl				Unreviewed (TrEMBL)	repeat	amino acids 30-64 on protein A0A8V8TP56				TNFR-Cys	A0A8V8TP56	
chr1	1293677	1293881	repeat	1000	-	1293677	1293881	12,12,120	2	31,59	0,145		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 768-797 on protein Q96P50				ANK 3	Q96P50	
chr1	1293881	1294136	repeat	0	-	1293881	1294136	0,150,250	2	52,47	0,208		cmpl	cmpl	0,0	trembl				Unreviewed (TrEMBL)	repeat	amino acids 27-59 on protein Q8N2W2				ANK	Q8N2W2	
chr1	1293890	1294136	repeat	1000	-	1293890	1294136	12,12,120	2	43,47	0,199		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 735-764 on protein Q96P50				ANK 2	Q96P50	
chr1	1294136	1294437	repeat	0	-	1294136	1294437	0,150,250	2	63,36	0,265		cmpl	cmpl	0,0	trembl				Unreviewed (TrEMBL)	repeat	amino acids 190-222 on protein Q8WTZ1				ANK	Q8WTZ1	
chr1	1294136	1294416	repeat	0	-	1294136	1294416	0,150,250	2	63,15	0,265		cmpl	cmpl	0,0	trembl				Unreviewed (TrEMBL)	repeat	amino acids 1-26 on protein Q8N2W2				ANK	Q8N2W2	
chr1	1294145	1294437	repeat	1000	-	1294145	1294437	12,12,120	2	54,36	0,256		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 702-731 on protein Q96P50				ANK 1	Q96P50	
chr1	1419210	1419300	repeat	1000	-	1419210	1419300	12,12,120	1	90	0		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 334-363 on protein E5RJM6				ANK 10	E5RJM6	
chr1	1419309	1419399	repeat	1000	-	1419309	1419399	12,12,120	1	90	0		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 301-330 on protein E5RJM6				ANK 9	E5RJM6	
chr1	1419408	1419498	repeat	1000	-	1419408	1419498	12,12,120	1	90	0		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 268-297 on protein E5RJM6				ANK 8	E5RJM6	
chr1	1419507	1420099	repeat	1000	-	1419507	1420099	12,12,120	2	42,48	0,544		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 235-264 on protein E5RJM6				ANK 7	E5RJM6	
chr1	1420108	1420183	repeat	1000	-	1420108	1420183	12,12,120	1	75	0		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 207-231 on protein E5RJM6				ANK 6	E5RJM6	
chr1	1420186	1420276	repeat	1000	-	1420186	1420276	12,12,120	1	90	0		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 176-205 on protein E5RJM6				ANK 5	E5RJM6	
chr1	1420297	1420387	repeat	1000	-	1420297	1420387	12,12,120	1	90	0		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 139-168 on protein E5RJM6				ANK 4	E5RJM6	
chr1	1420396	1420486	repeat	1000	-	1420396	1420486	12,12,120	1	90	0		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 106-135 on protein E5RJM6				ANK 3	E5RJM6	
chr1	1420495	1420585	repeat	1000	-	1420495	1420585	12,12,120	1	90	0		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 73-102 on protein E5RJM6				ANK 2	E5RJM6	
chr1	1420798	1420888	repeat	1000	-	1420798	1420888	12,12,120	1	90	0		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 40-69 on protein E5RJM6				ANK 1	E5RJM6	
chr1	1627310	1627409	repeat	0	+	1627310	1627409	0,150,250	1	99	0		cmpl	cmpl	0	trembl				Unreviewed (TrEMBL)	repeat	amino acids 399-431 on protein A0A8C8N694				ANK	A0A8C8N694	
chr1	1627310	1627400	repeat	1000	+	1627310	1627400	12,12,120	1	90	0		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 464-493 on protein Q96AX9				ANK 1	Q96AX9	
chr1	1627409	1627736	repeat	0	+	1627409	1627736	0,150,250	2	35,64	0,263		cmpl	cmpl	0,0	trembl				Unreviewed (TrEMBL)	repeat	amino acids 432-464 on protein A0A8C8N694				ANK	A0A8C8N694	
chr1	1627409	1627727	repeat	1000	+	1627409	1627727	12,12,120	2	35,55	0,263		cmpl	cmpl	0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 497-526 on protein Q96AX9				ANK 2	Q96AX9	
chr1	1627736	1628024	repeat	0	+	1627736	1628024	0,150,250	2	93,6	0,282		cmpl	cmpl	0,0	trembl				Unreviewed (TrEMBL)	repeat	amino acids 465-497 on protein A0A8C8N694				ANK	A0A8C8N694	
chr1	1627736	1627826	repeat	1000	+	1627736	1627826	12,12,120	1	90	0		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 530-559 on protein Q96AX9				ANK 3	Q96AX9	
