chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	blockCount	blockSizes	chromStarts	name2	cdsStartStat	cdsEndStat	exonFrames	type	geneName	geneName2	geneType	status	annotationType	position	longName	syns	subCellLoc	comments	uniProtId	pmids
chr1	962901	963233	repeat	1000	+	962901	963233	12,12,120	2	16,125	0,207		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 343-389 on protein Q6TDP4				Kelch 1	Q6TDP4	
chr1	963233	963457	repeat	1000	+	963233	963457	12,12,120	2	20,121	0,103		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 390-436 on protein Q6TDP4				Kelch 2	Q6TDP4	
chr1	963460	964111	repeat	1000	+	963460	964111	12,12,120	3	44,89,5	0,459,646		cmpl	cmpl	0,0,0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 438-483 on protein Q6TDP4				Kelch 3	Q6TDP4	
chr1	964111	964420	repeat	1000	+	964111	964420	12,12,120	2	69,72	0,237		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 484-530 on protein Q6TDP4				Kelch 4	Q6TDP4	
chr1	964423	964993	repeat	1000	+	964423	964993	12,12,120	2	107,31	0,539		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 532-577 on protein Q6TDP4				Kelch 5	Q6TDP4	
chr1	964993	965134	repeat	1000	+	964993	965134	12,12,120	1	141	0		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 578-624 on protein Q6TDP4				Kelch 6	Q6TDP4	
chr1	1204175	1204454	repeat	1000	-	1204175	1204454	12,12,120	2	61,56	0,223		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 115-153 on protein Q9Y5U5				TNFR-Cys 3	Q9Y5U5	
chr1	1204460	1205460	repeat	1000	-	1204460	1205460	12,12,120	2	26,91	0,909		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 74-112 on protein Q9Y5U5				TNFR-Cys 2	Q9Y5U5	
chr1	1205463	1206472	repeat	1000	-	1205463	1206472	12,12,120	2	29,88	0,921		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 34-72 on protein Q9Y5U5				TNFR-Cys 1	Q9Y5U5	
chr1	1212074	1212696	repeat	1000	-	1212074	1212696	12,12,120	2	64,59	0,563		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 127-167 on protein P43489				TNFR-Cys 4	P43489	
chr1	1212695	1212704	repeat	0	-	1212695	1212704	0,150,250	1	9	0		cmpl	cmpl	0	trembl				Unreviewed (TrEMBL)	repeat	amino acids 66-107 on protein A0A8V8TQH9				TNFR-Cys	A0A8V8TQH9	
chr1	1212696	1213040	repeat	1000	-	1212696	1213040	12,12,120	2	8,49	0,295		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 108-126 on protein P43489				"TNFR-Cys 3; truncated"	P43489	
chr1	1213040	1213735	repeat	1000	-	1213040	1213735	12,12,120	2	53,73	0,622		cmpl	cmpl	0	swissprot				Manually reviewed (Swiss-Prot)	repeat	amino acids 66-107 on protein P43489				TNFR-Cys 2	P43489	
